"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"C-4450.8601A","ECI1.A-TC23.F_CV","05/04/2021","80.98875"
"C-4450.8601A","ECI1.A-TC23.F_CV","06/04/2021","81.73182"
"C-4450.8601A","ECI1.A-TC23.F_CV","07/04/2021","82.57574"
"C-4450.8601A","ECI1.A-TC23.F_CV","08/04/2021","81.27374"
"C-4450.8601A","ECI1.A-TC23.F_CV","09/04/2021","80.85277"
"C-4450.8601A","ECI1.A-TC23.F_CV","10/04/2021","81.16219"
"C-4450.8601A","ECI1.A-TC23.F_CV","11/04/2021","81.34003"
"C-4450.8601A","ECI1.A-TC23.F_CV","12/04/2021","82.94204"
"C-4450.8601A","ECI1.A-TC23.F_CV","13/04/2021","84.06721"
"C-4450.8601A","ECI1.A-TC23.F_CV","14/04/2021","81.07591"
"C-4450.8601A","ECI1.A-TC23.F_CV","15/04/2021","82.02939"
"C-4450.8601A","ECI1.A-TC23.F_CV","16/04/2021","81.66222"
"C-4450.8601A","ECI1.A-TC23.F_CV","17/04/2021","81.06038"
"C-4450.8601A","ECI1.A-TC23.F_CV","18/04/2021","80.01759"
"C-4450.8601A","ECI1.A-TC23.F_CV","27/04/2021","77.72024"
"C-4450.8601A","ECI1.A-TC23.F_CV","28/04/2021","83.1444"
"C-4450.8601A","ECI1.A-TC23.F_CV","29/04/2021","80.93853"
"C-4450.8601A","ECI1.A-TC23.F_CV","30/04/2021","80.82673"
